station_number,area_code,parameter,valid_start,valid_end,value,unit,statistic,instantaneous,level,qc_valid_minutes,qc_valid_minutes_start,qc_valid_minutes_end
1006,WA_PT174,AIR_TEMP,1452182400,1452182400,30.1,Celsius,first,True,SFC,,1452182400,
1006,WA_PT174,AIR_TEMP,1452186000,1452186000,29.4,Celsius,first,True,SFC,,1452186000,
1006,WA_PT174,AIR_TEMP,1452189600,1452189600,29.4,Celsius,first,True,SFC,,1452189600,
1006,WA_PT174,AIR_TEMP,1452193200,1452193200,28.8,Celsius,first,True,SFC,,1452193200,
1006,WA_PT174,AIR_TEMP,1452204000,1452204000,29.8,Celsius,first,True,SFC,,1452193500,
1006,WA_PT174,AIR_TEMP,1452207600,1452207600,30.4,Celsius,first,True,SFC,,1452207240,
1006,WA_PT174,AIR_TEMP,1452211200,1452211200,32.0,Celsius,first,True,SFC,,1452211200,
1006,WA_PT174,AIR_TEMP,1452214800,1452214800,33.3,Celsius,first,True,SFC,,1452214800,
1006,WA_PT174,AIR_TEMP,1452218400,1452218400,33.4,Celsius,first,True,SFC,,1452218400,
1006,WA_PT174,AIR_TEMP,1452222000,1452222000,35.0,Celsius,first,True,SFC,,1452222000,
1006,WA_PT174,AIR_TEMP,1452225600,1452225600,35.4,Celsius,first,True,SFC,,1452225600,
1006,WA_PT174,AIR_TEMP,1452229200,1452229200,36.9,Celsius,first,True,SFC,,1452229200,
1006,WA_PT174,AIR_TEMP,1452232800,1452232800,36.4,Celsius,first,True,SFC,,1452232800,
1006,WA_PT174,AIR_TEMP,1452236400,1452236400,36.7,Celsius,first,True,SFC,,1452236400,
1006,WA_PT174,AIR_TEMP,1452240000,1452240000,34.5,Celsius,first,True,SFC,,1452240000,
1006,WA_PT174,AIR_TEMP,1452243600,1452243600,31.2,Celsius,first,True,SFC,,1452243600,
1006,WA_PT174,AIR_TEMP,1452247200,1452247200,32.4,Celsius,first,True,SFC,,1452247200,
1006,WA_PT174,AIR_TEMP,1452250800,1452250800,32.1,Celsius,first,True,SFC,,1452250800,
1006,WA_PT174,AIR_TEMP,1452254400,1452254400,31.1,Celsius,first,True,SFC,,1452254400,
1006,WA_PT174,AIR_TEMP,1452258000,1452258000,30.7,Celsius,first,True,SFC,,1452258000,
